attendance_percentage,test_average,assignment_average,submission_delay_count,performance_trend,risk_level
69.0,39.2,41.9,1,Stable,HIGH
72.0,77.1,52.6,0,Declining,MEDIUM
91.0,71.3,54.3,2,Stable,MEDIUM
61.0,41.1,65.4,1,Stable,HIGH
58.0,77.4,98.1,0,Stable,HIGH
76.0,85.4,46.4,0,Stable,MEDIUM
63.0,61.6,56.4,0,Declining,HIGH
83.0,85.9,90.5,0,Stable,LOW
89.0,87.7,97.2,6,Declining,HIGH
65.0,60.6,68.4,5,Declining,MEDIUM
65.0,58.9,98.1,1,Declining,MEDIUM
84.0,53.0,81.1,4,Declining,MEDIUM
97.0,80.3,49.1,1,Declining,MEDIUM
92.0,81.4,43.6,1,Improving,MEDIUM
85.0,66.7,90.3,0,Declining,LOW
